month,day,hour,minute,temperature,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_type,dew_point,dhi,dni,fill_flag,ghi,relative_humidity,solar_zenith_angle,surface_albedo,pressure,precipitable_water,wind_direction,wind_speed,cdte,solar_azimuth_angle,0.2800_um,0.2805_um,0.2810_um,0.2815_um,0.2820_um,0.2825_um,0.2830_um,0.2835_um,0.2840_um,0.2845_um,0.2850_um,0.2855_um,0.2860_um,0.2865_um,0.2870_um,0.2875_um,0.2880_um,0.2885_um
1,1,0,0,0.01655629139072845,0.0,0.0,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,23.11,-9999.0,0.19,954.0,0.6,135.0,0.19402985074626863,0.0,107.84391700024317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0.0033112582781456568,0.0,0.0,0.0,0.0,-9.4,0.0,0.0,0.0,0.0,23.81,-9999.0,0.19,955.0,0.6,137.0,0.20895522388059698,0.0,111.72629851257716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,0.12913907284768206,30.0,350.0,62.0,0.0,-9.2,30.0,350.0,0.0,0.05805243445692884,18.84,84.84,0.19,956.0,0.6,140.0,0.2835820895522388,0.9665462622223978,116.70438193588647,2.077091129137379e-19,3.0943904478028626e-18,1.2241552077701776e-17,1.9419130946629918e-16,1.0341204605351479e-15,3.096392556984827e-15,9.887779939028652e-15,1.682569905997854e-14,2.0971774158443333e-13,5.365846764470921e-13,1.1093102677080135e-12,4.873619103896609e-12,1.6791321872054648e-11,7.434169625487832e-11,2.053156503730529e-10,6.814127673922212e-10,2.658582753658338e-09,7.015706743424251e-09
1,1,3,0,0.2582781456953642,67.0,722.0,282.0,0.0,-9.3,67.0,722.0,0.0,0.2640449438202247,14.58,72.71,0.19,957.0,0.6,140.0,0.38805970149253727,0.9866976021498072,123.21874743463218,3.7147104931231953e-19,5.50239938414043e-18,2.2046527875020686e-17,3.512856569288089e-16,1.877124071182519e-15,5.639073406350501e-15,1.8057033435030683e-14,3.0803141381002325e-14,3.823953817359932e-13,9.928516690620796e-13,2.061176056379672e-12,9.10911635531496e-12,3.1475569917246195e-11,1.4001905672024518e-10,3.8843286014590943e-10,1.2974517160145823e-09,5.047388936081307e-09,1.353271679850644e-08
1,1,4,0,0.4304635761589404,85.0,871.0,500.0,0.0,-9.3,85.0,871.0,0.0,0.4681647940074906,10.59,61.53,0.19,957.0,0.6,130.0,0.43283582089552236,0.9850022034600346,131.9835732933836,1.4384707948422286e-18,2.1271494746506608e-17,8.51453216026352e-17,1.3542207488472857e-15,7.226149639453449e-15,2.1683035727698482e-14,6.934176557902767e-14,1.181779919671885e-13,1.4633893390520454e-12,3.793615095608967e-12,7.861172470146846e-12,3.4669257323314805e-11,1.1964860492838346e-10,5.312687777035659e-10,1.471323747003112e-09,4.9034549128139595e-09,1.902011936045661e-08,5.0901177933978e-08
1,1,5,0,0.5496688741721854,95.0,943.0,675.0,0.0,-9.4,95.0,943.0,0.0,0.6320224719101124,8.52,52.06,0.19,956.0,0.6,130.0,0.46268656716417905,0.9823768382759304,143.99483253438814,3.6766153505894575e-18,5.4903401654678526e-17,2.174256190318804e-16,3.4587035082618362e-15,1.8452165040785943e-14,5.53342448207537e-14,1.7699873612748952e-13,3.014822698444306e-13,3.773991269416749e-12,9.679488217363844e-12,2.006987776907264e-11,8.852348451504149e-11,3.055633301386694e-10,1.3585529936742138e-09,3.7666657003893895e-09,1.257988125663173e-08,4.9613359653902825e-08,1.319651958350836e-07
1,1,6,0,0.609271523178808,104.0,970.0,785.0,0.0,-8.9,104.0,970.0,0.0,0.7350187265917603,7.95,45.4,0.19,955.0,0.6,138.0,0.38805970149253727,0.9802593338366224,160.11395816248137,6.9087293330213726e-18,1.0325716346849094e-16,4.090413223971001e-16,6.515635019702171e-15,3.478912682881943e-14,1.0445185127016339e-13,3.380026904174415e-13,5.702569649625189e-13,7.178511004495197e-12,1.8486992369846305e-11,3.854415519997385e-11,1.7179727200091798e-10,5.961885600950997e-10,2.686992353484518e-09,7.550437488984257e-09,2.607948118859216e-08,1.0567298997070028e-07,2.914572024219142e-07
1,1,7,0,0.6490066225165563,106.0,982.0,825.0,0.0,-8.6,106.0,982.0,0.0,0.7724719101123596,7.6,42.88,0.19,954.0,0.6,146.0,0.3283582089552239,0.979636600182032,179.64243339322002,8.750614264387592e-18,1.30935345172129e-16,5.244497099664321e-16,8.284928180623202e-15,4.433297145806322e-14,1.332748431009569e-13,4.324205470423351e-13,7.302983061006536e-13,9.276418506411614e-12,2.4031052707352127e-11,5.0537864364462585e-11,2.2799799969834548e-10,7.961765217500785e-10,3.678745559882746e-09,1.0351441085435356e-08,3.63830730515981e-08,1.510064025628327e-07,4.220911041131142e-07
1,1,8,0,0.6655629139072847,104.0,972.0,789.0,0.0,-8.6,104.0,972.0,0.0,0.7387640449438202,7.41,45.22,0.19,952.0,0.6,154.0,0.25373134328358204,0.9802360637240716,199.2460462481147,7.061712979113764e-18,1.0445137452216072e-16,4.179678337302124e-16,6.658390024161219e-15,3.5563810862913964e-14,1.0674312632660848e-13,3.4195611001625457e-13,5.767256939697618e-13,7.2626814060592485e-12,1.871394445685517e-11,3.903478388822728e-11,1.7591021097456284e-10,6.107520265874315e-10,2.7561536473734556e-09,7.666031930429461e-09,2.6514611746432463e-08,1.0767054467235945e-07,2.973457504440614e-07
1,1,9,0,0.6655629139072847,108.0,912.0,673.0,7.0,-8.6,288.0,274.0,3.0,0.4288389513108614,7.35,51.76,0.19,952.0,0.6,161.0,0.1791044776119403,1.033005731930498,215.51936093509613,1.5876636681636833e-18,1.7411750593754965e-17,8.255551537781448e-17,2.849001312824369e-15,1.079324230429954e-14,3.5842698510612734e-14,1.146076011263525e-13,1.183109644176782e-13,2.892167559039496e-12,7.081766639444019e-12,1.2762927838308579e-11,4.0488305329086586e-11,2.2462289102075256e-10,8.783846455833641e-10,2.9175172406814994e-09,9.164673594535225e-09,2.4690828032098814e-08,8.960970512104344e-08
