month,day,hour,minute,temperature,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_type,dew_point,dhi,dni,fill_flag,ghi,relative_humidity,solar_zenith_angle,surface_albedo,pressure,precipitable_water,wind_direction,wind_speed,cdte,solar_azimuth_angle,0.2800_um,0.2805_um,0.2810_um,0.2815_um,0.2820_um,0.2825_um,0.2830_um,0.2835_um,0.2840_um,0.2845_um,0.2850_um,0.2855_um,0.2860_um,0.2865_um,0.2870_um,0.2875_um,0.2880_um,0.2885_um
1,1,2,0,0.0,20.0,166.0,30.0,0.0,4.1,20.0,166.0,0.0,0.030150753768844223,34.92,-9999.0,0.13,1017.0,0.7,112.0,0.6212121212121212,0.0,115.67039895261983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0,0.15277777777777768,76.0,576.0,231.0,0.0,3.8,76.0,576.0,0.0,0.23216080402010053,29.9,74.43,0.13,1017.0,0.7,111.0,0.5757575757575757,0.982842860349647,121.71545867908792,2.019366477307492e-19,3.055634511832268e-18,1.22482795405576e-17,1.951534174242922e-16,1.0542682804978722e-15,3.1671672424621018e-15,1.0251295282609408e-14,1.7485822002219963e-14,2.193686333769095e-13,5.696763699956088e-13,1.1954571404918886e-12,5.282569154501978e-12,1.8451607186822453e-11,8.208248143205929e-11,2.27603787134769e-10,7.685779400007491e-10,3.022356427221325e-09,8.103271796119708e-09
1,1,4,0,0.375,105.0,754.0,448.0,7.0,3.5,129.0,577.0,0.0,0.3929648241206031,24.13,62.94,0.13,1018.0,0.7,115.0,0.42424242424242414,1.0084424302639456,129.88520630773837,4.843500776086936e-19,5.975154804584988e-18,2.6807873553491768e-17,7.715895036836853e-16,3.1607144671679866e-15,1.0283135119033655e-14,3.3250451001494145e-14,3.925809011885392e-14,8.196389086255491e-13,2.045732204222188e-12,3.83205111833653e-12,1.2970334179364342e-11,6.552423895894362e-11,2.615385484665632e-10,8.464459583496335e-10,2.683129466611753e-09,7.842222308952208e-09,2.6529639931322477e-08
1,1,5,0,0.6180555555555554,123.0,836.0,626.0,7.0,2.5,168.0,635.0,0.0,0.5527638190954774,18.3,52.98,0.13,1017.0,0.8,134.0,0.3030303030303029,1.0087180444723145,141.167684099878,1.2045426050062337e-18,1.4746621222220532e-17,6.646596111551159e-17,1.9367014819950638e-15,7.893908545262336e-15,2.568547741929937e-14,8.302823624989816e-14,9.70827909636676e-14,2.052060274559001e-12,5.116911639763967e-12,9.56320614013402e-12,3.221676165862949e-11,1.6397494963607582e-10,6.548528387323112e-10,2.128148567313833e-09,6.7450343204159825e-09,1.9711186179754808e-08,6.726572707705778e-08
1,1,6,0,0.7152777777777777,139.0,866.0,745.0,7.0,1.9,234.0,574.0,0.0,0.6391959798994975,16.2,45.6,0.13,1016.0,0.8,154.0,0.1818181818181818,1.008061136951857,156.59052217578915,2.22329305959162e-18,2.6691440265520447e-17,1.217048283814235e-16,3.713404348939595e-15,1.4894199111339886e-14,4.8845783116032626e-14,1.582090188685301e-13,1.801696397126545e-13,3.976739359778e-12,9.949609749973974e-12,1.8648392740281128e-11,6.297858219727303e-11,3.2773119370486167e-10,1.3294277793487866e-09,4.399073597897765e-09,1.4358672488142466e-08,4.529708687736154e-08,1.5648372535926388e-07
1,1,7,0,0.7638888888888888,143.0,883.0,797.0,7.0,2.6,244.0,608.0,0.0,0.6984924623115578,16.36,42.19,0.13,1015.0,0.8,189.0,0.16666666666666663,1.0067828303047686,175.92324583152015,3.2336830785137434e-18,3.895447808601496e-17,1.7800129266396688e-16,5.440232117258285e-15,2.195708399787809e-14,7.212270728727771e-14,2.3474672559550185e-13,2.7081982397530245e-13,5.995302271562949e-12,1.517321837544628e-11,2.9021627123977965e-11,1.0288926969834849e-10,5.222868967070214e-10,2.190589831655105e-09,7.2622940170692104e-09,2.4504584491568027e-08,8.43048771327841e-08,2.839784558208907e-07
1,1,8,0,0.770833333333333,141.0,876.0,775.0,7.0,3.9,260.0,536.0,0.0,0.6502512562814071,17.76,43.69,0.13,1014.0,0.8,233.0,0.19696969696969696,1.0105744400571344,196.10620938737304,2.6216629435946284e-18,3.090128624423197e-17,1.4286093847590014e-16,4.537718531914543e-15,1.7991492265099412e-14,5.929187495337014e-14,1.9241085630205242e-13,2.1413596965580698e-13,4.90371814766618e-12,1.2297234132714656e-11,2.308090440755922e-11,7.799542221935814e-11,4.1169353424571575e-10,1.6826306370554856e-09,5.613712548290251e-09,1.8516949672065868e-08,5.97077862832131e-08,2.06628671589253e-07
1,1,9,0,0.7569444444444442,145.0,817.0,673.0,2.0,4.8,281.0,363.0,0.0,0.5185929648241207,19.21,49.66,0.13,1013.0,0.8,265.0,0.2424242424242424,1.0236490909313458,213.2557254621144,1.7003499896743664e-18,1.9155481668760047e-17,9.006045658784521e-17,3.067247024142388e-15,1.1858264515081636e-14,3.927914849532848e-14,1.2565690142566658e-13,1.3368653777650052e-13,3.2416080571501997e-12,7.93085119315007e-12,1.4543178489889583e-11,4.6778551136437545e-11,2.5567977859605033e-10,1.00445469821375e-09,3.373732908250661e-09,1.0653984540138147e-08,2.984453402547941e-08,1.0741339678766313e-07
1,1,10,0,0.7222222222222223,128.0,744.0,514.0,0.0,5.7,128.0,744.0,0.0,0.5165829145728644,21.01,58.74,0.13,1013.0,0.8,282.0,0.28787878787878785,0.9870869227792898,226.0913949366108,1.2510000812052389e-18,1.8684908615408305e-17,7.477231333780024e-17,1.2013148232927197e-15,6.474298330977211e-15,1.9417465998679992e-14,6.210436531947311e-14,1.058140242108816e-13,1.3366610469297898e-12,3.424778554159044e-12,7.168214286865914e-12,3.192441227468586e-11,1.1012676581456244e-10,4.883074107638412e-10,1.3512337496656996e-09,4.5479982382898976e-09,1.7810159954369882e-08,4.7625731387645855e-08
1,1,11,0,0.6180555555555554,101.0,604.0,310.0,0.0,8.0,101.0,604.0,0.0,0.31155778894472363,26.78,69.72,0.13,1013.0,0.8,289.0,0.2575757575757575,0.9860236850889496,235.3688464680412,3.612244865934724e-19,5.401055969546806e-18,2.1626364047555814e-17,3.4785216189068633e-16,1.87625148524408e-15,5.631150695156143e-15,1.8024349046964223e-14,3.0726826285710314e-14,3.8871044849856417e-13,9.96845772933338e-13,2.0886561176637387e-12,9.312907886131444e-12,3.2143727106174594e-11,1.4267848990501827e-10,3.951677768649379e-10,1.3315817236184483e-09,5.221473091740109e-09,1.3976020556551229e-08
1,1,12,0,0.36111111111111116,50.0,315.0,95.0,1.0,10.2,50.0,315.0,0.0,0.09547738693467338,38.67,81.79,0.13,1014.0,0.8,299.0,0.2575757575757575,0.9562756294105544,242.1656288734416,2.195756516355176e-19,3.307172727609162e-18,1.3228449685528593e-17,2.09711678564154e-16,1.1288022185544914e-15,3.381288701590052e-15,1.09099826838272e-14,1.8573223922465263e-14,2.313044937054069e-13,5.981604572502234e-13,1.2493108317454532e-12,5.486230883470958e-12,1.9114173726712885e-11,8.452210277047456e-11,2.332322778490778e-10,7.824956745101892e-10,3.0501034112364838e-09,8.133425191415643e-09
1,1,13,0,0.24999999999999978,0.0,0.0,0.0,7.0,10.9,0.0,0.0,0.0,0.0,44.44,-9999.0,0.13,1015.0,0.8,315.0,0.3030303030303029,0.0,247.27824617344783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,14,0,0.1944444444444442,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,49.3,-9999.0,0.13,1016.0,0.9,334.0,0.33333333333333326,0.0,251.19867238678157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,0,0.13888888888888884,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,54.33,-9999.0,0.13,1016.0,0.9,351.0,0.33333333333333326,0.0,254.179951045846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,0,0.09027777777777768,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,57.71,-9999.0,0.13,1016.0,0.9,14.0,0.3030303030303029,0.0,256.2371584168877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
