month,day,hour,minute,temperature,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_type,dew_point,dhi,dni,fill_flag,ghi,relative_humidity,solar_zenith_angle,surface_albedo,pressure,precipitable_water,wind_direction,wind_speed,cdte,solar_azimuth_angle,0.2800_um,0.2805_um,0.2810_um,0.2815_um,0.2820_um,0.2825_um,0.2830_um,0.2835_um,0.2840_um,0.2845_um,0.2850_um,0.2855_um,0.2860_um,0.2865_um,0.2870_um,0.2875_um,0.2880_um,0.2885_um
1,1,2,0,0.045454545454545525,26.0,288.0,48.0,0.0,-4.9,26.0,288.0,0.0,0.04743083003952569,25.63,85.66,0.11,962.0,0.6,112.0,0.5342465753424657,0.9480035095462406,115.98704315364,1.6743202161758602e-19,2.4938820722127173e-18,9.9663814552423e-18,1.5793304015233504e-16,8.405767918592806e-16,2.516549902342415e-15,8.029422739128365e-15,1.3661613210767115e-14,1.7014642433453036e-13,4.350615051641425e-13,8.98909009490836e-13,3.946359461365136e-12,1.3590041421050163e-11,6.077708966555524e-11,1.6591302189189196e-10,5.563780904941162e-10,2.1458562099331453e-09,5.7202927333138785e-09
1,1,3,0,0.21363636363636374,68.0,688.0,265.0,0.0,-4.6,68.0,688.0,0.0,0.2618577075098814,20.76,73.34,0.11,963.0,0.6,111.0,0.5890410958904109,0.9838287393872776,122.04493590505268,3.0853279567703867e-19,4.614755217486972e-18,1.8479039832477308e-17,2.913626053373019e-16,1.5726497597527573e-15,4.719183414997349e-15,1.510980847366172e-14,2.5747915163678235e-14,3.196845989781395e-13,8.295781038139586e-13,1.7212901919630049e-12,7.603402028790132e-12,2.625503338868952e-11,1.1680028286189818e-10,3.2371604685264847e-10,1.0928961645620335e-09,4.250278660221992e-09,1.1394606811524172e-08
1,1,4,0,0.4318181818181819,87.0,850.0,488.0,0.0,-3.7,87.0,850.0,0.0,0.48221343873517786,16.51,61.86,0.11,963.0,0.6,113.0,0.5616438356164383,0.9833472535583258,130.30230966851116,1.26610526221986e-18,1.89020780590812e-17,7.563091497447773e-17,1.1900362581811778e-15,6.414513130316683e-15,1.9226793948482123e-14,6.147467698236484e-14,1.0467840810338093e-13,1.2958765627364642e-12,3.357203441207996e-12,6.95307585301595e-12,3.064302780246379e-11,1.0568393924023346e-10,4.691167604111887e-10,1.2977922746854179e-09,4.370038351486223e-09,1.6940660223846734e-08,4.532291380104325e-08
1,1,5,0,0.6045454545454545,98.0,928.0,670.0,0.0,-4.0,98.0,928.0,0.0,0.6620553359683794,12.86,51.96,0.11,963.0,0.6,111.0,0.4931506849315068,0.980643908732286,141.7909547900805,3.537253431398416e-18,5.2804576399590416e-17,2.1125698440555823e-16,3.324170631265333e-15,1.7916033800826365e-14,5.3704963675758443e-14,1.7171890270152205e-13,2.923586119560218e-13,3.62131470098664e-12,9.384408213806739e-12,1.9442583053672623e-11,8.576081166919715e-11,2.9592952283361267e-10,1.3153118545219396e-09,3.6441230526278235e-09,1.2307964532485997e-08,4.800932610802605e-08,1.2911495121470298e-07
1,1,6,0,0.6954545454545455,113.0,947.0,786.0,0.0,-3.6,113.0,947.0,0.0,0.7766798418972332,11.76,44.72,0.11,962.0,0.6,109.0,0.3835616438356164,0.978175628821508,157.5627241398629,6.6803620408725286e-18,9.98688250785084e-17,3.9972934982249294e-16,6.365540306233021e-15,3.3997402590787456e-14,1.0208091995681995e-13,3.268562556089761e-13,5.573429236332999e-13,7.0271605769886565e-12,1.811536482075249e-11,3.785083380467364e-11,1.6913876644670622e-10,5.878127270360351e-10,2.688666710656345e-09,7.501269606237604e-09,2.6045483507397783e-08,1.065136923822365e-07,2.952927248570774e-07
1,1,7,0,0.7500000000000002,116.0,959.0,834.0,0.0,-3.3,116.0,959.0,0.0,0.8241106719367588,11.22,41.58,0.11,960.0,0.6,109.0,0.273972602739726,0.977316686250534,177.26183748204676,9.160296533803221e-18,1.3722745008866055e-16,5.440926230375796e-16,8.705096014482714e-15,4.665121866053198e-14,1.4053113536777146e-13,4.570053263503825e-13,7.727362284526947e-13,9.903444873906044e-12,2.579642375062084e-11,5.464944934355962e-11,2.4916123281850947e-10,8.830339513523301e-10,4.0819320099842565e-09,1.1589758632917334e-08,4.1192371591361636e-08,1.734980675301125e-07,4.882225985361313e-07
1,1,8,0,0.7727272727272729,117.0,948.0,805.0,0.0,-3.1,117.0,948.0,0.0,0.7954545454545454,11.11,43.43,0.11,959.0,0.6,108.0,0.1780821917808219,0.9776341411973712,197.55132003489064,7.715128542465024e-18,1.153907619916198e-16,4.571373142383437e-16,7.292094856008838e-15,3.9408822064571134e-14,1.171847887302013e-13,3.797726067276655e-13,6.409885811130338e-13,8.126859044079703e-12,2.1022264560315904e-11,4.4113325824143015e-11,2.0068372284469476e-10,6.998326583444821e-10,3.192689766721326e-09,8.964231061297191e-09,3.143681763429881e-08,1.3015933812668074e-07,3.63458618698197e-07
1,1,9,0,0.7681818181818183,115.0,898.0,695.0,0.0,-3.0,115.0,898.0,0.0,0.6867588932806323,11.21,49.73,0.11,959.0,0.7,91.0,0.0958904109589041,0.9833858045835108,214.50907537055537,4.1423520101115135e-18,6.18454739348535e-17,2.448397084255044e-16,3.893776658070953e-15,2.0989684745079896e-14,6.228298820907697e-14,2.0123359195723213e-13,3.3902499454082097e-13,4.246883907953637e-12,1.0892108572289612e-11,2.258335033251964e-11,1.0083658587668189e-10,3.4819629249303966e-10,1.5510426142517434e-09,4.260250748799031e-09,1.4445785453346178e-08,5.6810732577439075e-08,1.5373942960244053e-07
1,1,10,0,0.7363636363636366,103.0,832.0,530.0,3.0,-2.2,213.0,349.0,0.0,0.3883399209486166,12.44,59.05,0.11,959.0,0.7,50.0,0.0684931506849315,1.0211193942691266,227.05123012727185,9.230000057516365e-19,1.0465383537168745e-17,4.841740040978921e-17,1.6065289662345566e-15,6.244892856625217e-15,2.0395208367217624e-14,6.59257118157162e-14,6.982021379512728e-14,1.6496222621258798e-12,4.035516816375685e-12,7.300156317011008e-12,2.3519526295251668e-11,1.2747454721126515e-10,4.993271788024457e-10,1.641854229864463e-09,5.14626662935546e-09,1.3924569014519674e-08,4.972795704196855e-08
1,1,11,0,0.6590909090909092,81.0,709.0,321.0,0.0,4.1,81.0,709.0,0.0,0.31719367588932806,21.53,70.19,0.11,959.0,0.6,18.0,0.0547945205479452,0.9824027592806042,236.05384694313767,4.571835385817862e-19,6.831854004215758e-18,2.7061495802563827e-17,4.307630203050547e-16,2.3235118547563858e-15,6.897498765540896e-15,2.2296331270805518e-14,3.7579363546346765e-14,4.708865129929124e-13,1.207801376439963e-12,2.503586497250716e-12,1.1166875712327222e-11,3.853967918129285e-11,1.7123924004125922e-10,4.69010097273322e-10,1.581193712701517e-09,6.137863413319717e-09,1.6438013109432152e-08
