Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Solar Azimuth Units,Panel Tilt Units,Panel Azimuth Units,Spectral Data Units,Version
NSRDB,69977,-,-,-,16.56,75.05,0,532,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,degrees,degrees,degrees,W/m^2/um,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Si (BPR),Si (Wacker),Si (Eurosil),"GaAs (Bauhuis et al., 2009)","InGap (Gray, 2008)","InGap (McGambridge, 2011)",CdTe,Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle,0.2800 um,0.2805 um,0.2810 um,0.2815 um,0.2820 um,0.2825 um,0.2830 um,0.2835 um,0.2840 um,0.2845 um,0.2850 um,0.2855 um,0.2860 um,0.2865 um,0.2870 um,0.2875 um,0.2880 um,0.2885 um
2020,1,1,0,0,15.6,0,0,0,7,15.6,0,0,0,0,100,-9999,0.14,951,2.6,95,1.1,0,0,0,0,0,0,0,108.96567955461876,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,1,0,16.1,0,0,0,7,16.1,0,0,0,0,100,-9999,0.14,952,2.6,109,1.3,0,0,0,0,0,0,0,112.01776006173895,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,2,0,19.5,45,167,63,0,17.6,45,167,0,63,88.61,83.8,0.14,953,2.7,123,3,1.0088460353480073,1.0114898610569993,1.0027739354817484,0.9688539276271902,0.8239763249880359,0.8246281114670239,0.9600459658821515,116.260492085306,18.00850102332393,90,2.2860179770742004e-19,3.4035148347471454e-18,1.3604121321783715e-17,2.1343145927015406e-16,1.147653775800228e-15,3.4001910404780607e-15,1.0966093008471032e-14,1.8467437850603303e-14,2.299479217259334e-13,5.880099566259299e-13,1.214496376846913e-12,5.334034978854323e-12,1.856982145438619e-11,8.212561208997519e-11,2.2422804991474925e-10,7.517189480930596e-10,2.8984960047512554e-09,7.726297513802952e-09
2020,1,1,3,0,22.8,110,488,267,0,18.4,110,488,0,267,76.32,71.32,0.14,953,2.7,134,3.7,1.0176216094890755,1.0167583239019606,1.0152789778237186,1.0351450352658518,1.0194203125489103,1.0224498108034457,1.0304919313488088,122.09645055856151,68.24013119718252,90,3.3691480445027656e-19,5.03560909958685e-18,2.016542516205569e-17,3.1770433525781766e-16,1.7136197733923842e-15,5.0890617144803075e-15,1.6457637583210335e-14,2.7759232095740822e-14,3.47772832764134e-13,8.923859278498536e-13,1.8503975145733266e-12,8.165893617408283e-12,2.8502957230034003e-11,1.2663773597152136e-10,3.4707322157187973e-10,1.1699314465027407e-09,4.543824415695974e-09,1.2166539146757919e-08
2020,1,1,4,0,25.7,128,697,479,0,18.4,128,697,0,479,64,59.71,0.14,953,2.7,142,3.7,1.0068090783380799,1.004846020158334,1.0063297019449362,1.0318191039316342,1.0607419747831053,1.0603756213717266,1.032591700109628,130.26809832219482,52.564065114043835,90,1.361188160826195e-18,2.032088661198689e-17,8.131540020289857e-17,1.2794206675773445e-15,6.8936869517641935e-15,2.0456316145288766e-14,6.609177050327836e-14,1.1139710746386466e-13,1.3932404932006579e-12,3.5714019421397088e-12,7.396666804776989e-12,3.259647089675843e-11,1.1367481580213282e-10,5.044471222946344e-10,1.3809708069493709e-09,4.648332222172305e-09,1.802362962307183e-08,4.820583345813016e-08
2020,1,1,5,0,27.9,130,811,654,0,17.7,130,811,0,654,53.85,49.71,0.14,953,2.7,151,3.3,0.9998990792862528,0.9976998255281678,1.0005734824452277,1.025672077129744,1.0704247481085927,1.0681928022603222,1.0292553482570928,141.92848111715972,36.025122276034395,90,3.9560206935075565e-18,5.907365638007437e-17,2.3637973889609813e-16,3.721249747602343e-15,2.0058183316795865e-14,5.952971205459897e-14,1.9238526314975317e-13,3.243083043103164e-13,4.062340540855187e-12,1.0424177252328163e-11,2.1620367188908863e-11,9.55367901985603e-11,3.3359909074746966e-10,1.4863140560128988e-09,4.08638722579455e-09,1.3865860102571063e-08,5.463766399854901e-08,1.4799071357671258e-07
2020,1,1,6,0,29.5,152,824,759,0,16.7,152,824,0,759,46.11,42.48,0.14,952,2.7,167,2.9,0.9969672481530291,0.994906220275108,0.997986551843533,1.02131023176093,1.0680375668113162,1.06552563998404,1.0254393446334527,158.2948343409471,18.70622764387356,90,7.377305839230337e-18,1.0929161928991346e-16,4.3764952789496023e-16,6.994353330927712e-15,3.746865688618244e-14,1.1274773316616052e-13,3.6244096262769587e-13,6.126246788449448e-13,7.825207580220963e-12,2.0355621096614615e-11,4.3020437981154064e-11,1.9770782606122753e-10,6.930863592377712e-10,3.199683226225401e-09,9.07691246987128e-09,3.228649426434334e-08,1.3628565715863374e-07,3.8453592089263757e-07
2020,1,1,7,0,30.4,149,848,802,0,15.9,149,848,0,802,41.57,39.59,0.14,951,2.7,186,2.8,0.995605702845713,0.9935071303568319,0.9968714172773124,1.0200402951297156,1.069539608877553,1.066626496729759,1.0247487676259637,178.9086214667442,0.9024399521591278,90,9.794480084126127e-18,1.4738374267459795e-16,5.858807309815291e-16,9.450287789373282e-15,5.103651234535179e-14,1.5459576293115592e-13,5.012889674354345e-13,8.608613847122049e-13,1.1201760305027336e-11,2.9625597432179837e-11,6.453869887007058e-11,3.015376310840201e-10,1.0697937007311338e-09,5.054907853572685e-09,1.4602009708274667e-08,5.297927777837137e-08,2.2834177917861467e-07,6.494106630810609e-07
